"100001","100021","100041","100061","100081","100101","100121","100141","100161","100181","100201","100221","100241","100261","100281","100301","100321","100341","100361","100381","100401","100421","100441","100461","100481","100501","100521","100541","100561","100581","100601","100621","100641","100661","100681","100701","100721","100741","100761","100781","100801","100821","100841","100861","100881","100901","100921","100941","100961","100981","reps","seed"
0.00384843,0.00334463,0.00314516,0.00303889,0.00292899,0.00294895,0.00297781,0.00303958,0.00297096,0.00296653,0.00288045,0.00283599,0.00272094,0.00264415,0.00259413,0.00256287,0.00248651,0.00249792,0.00243061,0.00235669,0.00229487,0.0022246,0.00218299,0.00212192,0.00207678,0.00214466,0.00210513,0.00220162,0.00217772,0.00199626,0.00193881,0.00185249,0.00189907,0.0019786,0.00206157,0.0019659,0.00207147,0.00206111,0.00195737,0.00196537,0.00203561,0.00209682,0.00215936,0.00214181,0.00211867,0.00220527,0.00226312,0.00238336,0.00236808,0.00244304,1,7658453113909903360
0.00370822,0.00279472,0.00282356,0.00287233,0.00278432,0.00281067,0.00273051,0.00263014,0.0026514,0.00272617,0.00262462,0.00271623,0.0028635,0.00287012,0.00297986,0.00302867,0.0030242,0.00302009,0.0030114,0.00298773,0.00292976,0.00289771,0.00288466,0.00281778,0.00270472,0.00264642,0.0026316,0.00255551,0.0024368,0.00246199,0.00239341,0.0023339,0.00222928,0.00225865,0.0021319,0.00200957,0.00209977,0.00217068,0.00205147,0.00215693,0.00215266,0.00229201,0.00219382,0.0021685,0.00218222,0.00214238,0.0021241,0.00205533,0.00204092,0.00205531,10,3567305265699795456
0.00385676,0.00305925,0.00284005,0.00275961,0.00272307,0.00259445,0.00267218,0.00283158,0.00264573,0.00253147,0.00254525,0.00249358,0.00249367,0.00243956,0.00235728,0.00227487,0.00221556,0.00228249,0.00228775,0.00228133,0.00225188,0.00225709,0.00222246,0.00219817,0.00227069,0.00238322,0.0023625,0.00235291,0.00230241,0.00228931,0.00228345,0.00226303,0.00219667,0.00219757,0.00218866,0.00215612,0.00214293,0.00207381,0.00209094,0.0021557,0.0021115,0.00212585,0.00211191,0.00209795,0.00205449,0.00207093,0.00207923,0.00213387,0.00217743,0.00211356,11,6153571552216604672
0.00368024,0.00295443,0.00237719,0.00240932,0.00236925,0.00260026,0.00246146,0.00231806,0.00232758,0.00214899,0.0020867,0.00198868,0.00183102,0.00205294,0.00205857,0.00183394,0.00192209,0.00176361,0.00178525,0.00177624,0.00173279,0.00181095,0.0018584,0.00194702,0.00187248,0.00193464,0.00194259,0.00183926,0.00184632,0.00174689,0.00183804,0.00167296,0.00176335,0.0017204,0.00175068,0.00173857,0.00171818,0.00172485,0.00157122,0.00158277,0.00158334,0.00157394,0.00139056,0.00146232,0.00138184,0.00131129,0.00132399,0.00134066,0.00127579,0.00128984,12,2308138172429264896
0.00371022,0.00246427,0.00219465,0.00228067,0.00222342,0.00202457,0.00195312,0.00176605,0.00166406,0.00175871,0.00169397,0.0016711,0.00164855,0.00159396,0.00157154,0.0014502,0.0015864,0.0014156,0.00131761,0.001328,0.00132098,0.00126603,0.00118261,0.00116873,0.00112426,0.00108017,0.0010419,0.00103335,0.00109117,0.00106884,0.00112371,0.00115605,0.00116532,0.0011399,0.00111972,0.00118115,0.0012026,0.00121005,0.00114968,0.00108665,0.00108858,0.00106538,0.00113058,0.00114311,0.00110255,0.0010637,0.00107335,0.00109072,0.001125,0.00110091,13,934495499907238784
0.00380915,0.0027407,0.00293473,0.00282415,0.00279449,0.00272354,0.00278038,0.00266472,0.00256061,0.00254964,0.00245667,0.00254318,0.00254149,0.00251812,0.00257671,0.00259799,0.00261295,0.00257132,0.00247213,0.00241482,0.00243658,0.00248138,0.00255011,0.00253267,0.00254541,0.00254492,0.00248399,0.00231091,0.00235218,0.00231767,0.00230303,0.00229406,0.00226724,0.00227732,0.00228321,0.00220064,0.00220271,0.00221835,0.00222107,0.00218946,0.00224626,0.00225208,0.00224207,0.00227953,0.00224275,0.00226449,0.00230032,0.00235287,0.00234609,0.00228617,14,8201966278044401664
0.00388209,0.00301546,0.00291269,0.00276921,0.00273895,0.00280358,0.00282549,0.00283286,0.00278348,0.00292692,0.00278279,0.00273416,0.0026354,0.00264295,0.00256623,0.00268054,0.00254543,0.00251729,0.00241113,0.00227205,0.00220538,0.00213106,0.00204318,0.00190713,0.00182069,0.00192623,0.00191458,0.00188192,0.00184369,0.00180355,0.00185427,0.0020053,0.002064,0.00211625,0.00209143,0.0020676,0.00202063,0.00196899,0.00200758,0.00208346,0.00204626,0.0020278,0.00203233,0.00204755,0.00199921,0.00200488,0.00201825,0.00199912,0.00201869,0.00200188,15,8670918822437123072
0.00371317,0.00280906,0.00264718,0.00245177,0.00223427,0.00196583,0.00205674,0.00221665,0.00215741,0.00220008,0.0022319,0.00231338,0.00217728,0.00210973,0.00221197,0.00209728,0.00213166,0.00214499,0.00200878,0.0020002,0.00198093,0.00184425,0.00177188,0.00170885,0.00176129,0.0016922,0.00173744,0.00164071,0.00149986,0.00149582,0.00137219,0.00133122,0.00129931,0.00133087,0.00126079,0.00132636,0.00148506,0.00147248,0.00150057,0.00138237,0.00132004,0.00131873,0.00126338,0.00119741,0.00126845,0.00128567,0.00131413,0.00127058,0.0011905,0.00121226,16,2561600773991191040
0.00373178,0.00296543,0.00328862,0.00327558,0.00329746,0.00337361,0.00330718,0.00329034,0.00335631,0.00341321,0.00346888,0.00344951,0.00347077,0.00342821,0.00335847,0.00330234,0.00323889,0.00319913,0.0031553,0.0031544,0.00308618,0.00299439,0.00291109,0.00279745,0.00274426,0.0029031,0.00285479,0.00284367,0.00271556,0.0026346,0.00242379,0.00257518,0.00259501,0.00254194,0.00243478,0.00252272,0.00254111,0.00252084,0.00254404,0.00251557,0.00245184,0.00248555,0.00249184,0.00246617,0.00232728,0.00223812,0.00225008,0.00219728,0.00234488,0.00234263,17,7597497744715163648
