cycle,Heterozygosity
100001,0.00371727
100003,0.00336337
100005,0.00258914
100007,0.00225435
100009,0.00220138
100011,0.00212424
100013,0.0022601
100015,0.00225149
100017,0.00222744
100019,0.00212842
100021,0.00218138
100023,0.00215568
100025,0.00204578
100027,0.00219966
100029,0.0021825
100031,0.00206375
100033,0.00206131
100035,0.0018255
100037,0.0019691
100039,0.00213717
100041,0.00204121
100043,0.00209246
100045,0.00203645
100047,0.00206401
100049,0.00196262
100051,0.00186096
100053,0.00194052
100055,0.00200407
100057,0.00204708
100059,0.00199255
100061,0.00205733
100063,0.00181321
100065,0.00180417
100067,0.00188683
100069,0.00193699
100071,0.00209657
100073,0.0020301
100075,0.00199255
100077,0.00198475
100079,0.00212092
100081,0.0021598
100083,0.00202687
100085,0.00205687
100087,0.00211729
100089,0.00212521
100091,0.00207375
100093,0.00213268
100095,0.00213482
100097,0.00211372
100099,0.00210906
