cycle,Heterozygosity
100001,0.00366491
100003,0.00338166
100005,0.00336175
100007,0.00317963
100009,0.00308165
100011,0.00288157
100013,0.00278554
100015,0.0027966
100017,0.00264328
100019,0.0029037
100021,0.00280633
100023,0.00281738
100025,0.00279161
100027,0.00271175
100029,0.00283449
100031,0.00282724
100033,0.00284961
100035,0.00289989
100037,0.00290828
100039,0.0028921
100041,0.00285653
100043,0.00283839
100045,0.00282672
100047,0.00276876
100049,0.00282633
100051,0.00286672
100053,0.0028283
100055,0.00282328
100057,0.00278531
100059,0.00285254
100061,0.00283574
100063,0.00283155
100065,0.00274428
100067,0.00271352
100069,0.0027008
100071,0.00265208
100073,0.00267455
100075,0.0026802
100077,0.00264356
100079,0.00265586
100081,0.00266414
100083,0.00258348
100085,0.00258961
100087,0.00258773
100089,0.00261405
100091,0.00263674
100093,0.00267725
100095,0.00264772
100097,0.00267044
100099,0.00272648
