cycle,Heterozygosity
100001,0.00374341
100003,0.0033546
100005,0.00299554
100007,0.00288075
100009,0.00228984
100011,0.0016951
100013,0.00146402
100015,0.00132968
100017,0.00119887
100019,0.00160001
100021,0.0017562
100023,0.00190361
100025,0.001893
100027,0.00185351
100029,0.00177298
100031,0.00182953
100033,0.00202505
100035,0.00209896
100037,0.00201164
100039,0.00200865
100041,0.00173972
100043,0.00173215
100045,0.00182123
100047,0.0018586
100049,0.00183641
100051,0.00185733
100053,0.00187313
100055,0.00184677
100057,0.00183239
100059,0.00178129
100061,0.00176442
100063,0.00180165
100065,0.00179562
100067,0.00181787
100069,0.00179635
100071,0.00174638
100073,0.00168565
100075,0.001709
100077,0.00166426
100079,0.00164096
100081,0.00152328
100083,0.00158496
100085,0.00152964
100087,0.0015127
100089,0.00143921
100091,0.00146723
100093,0.00148309
100095,0.00141338
100097,0.00128527
100099,0.00116891
