cycle,Heterozygosity
100001,0.00366227
100003,0.00346134
100005,0.00313408
100007,0.00301649
100009,0.00314849
100011,0.00287312
100013,0.00285514
100015,0.00269799
100017,0.00249984
100019,0.00235321
100021,0.00225691
100023,0.00216641
100025,0.00219459
100027,0.00242989
100029,0.0024031
100031,0.00236933
100033,0.00239474
100035,0.00249371
100037,0.00247554
100039,0.00247357
100041,0.00249569
100043,0.00247149
100045,0.00242438
100047,0.0023977
100049,0.00238231
100051,0.00235279
100053,0.00235528
100055,0.00234268
100057,0.00235006
100059,0.0023558
100061,0.00238354
100063,0.00237347
100065,0.00233914
100067,0.0023353
100069,0.00231983
100071,0.00230431
100073,0.00230214
100075,0.00229323
100077,0.00231517
100079,0.00233459
100081,0.00231562
100083,0.0023314
100085,0.00232764
100087,0.00231207
100089,0.00230461
100091,0.00228974
100093,0.0022984
100095,0.00232367
100097,0.00232975
100099,0.00231454
