cycle,Heterozygosity
100001,0.00366931
100006,0.00113054
100011,1.08796e-06
100016,4.21488e-06
100021,6.38588e-06
100026,9.76725e-06
100031,1.15999e-05
100036,1.27775e-05
100041,1.10853e-05
100046,1.37477e-05
100051,1.40624e-05
100056,1.34633e-05
100061,1.48145e-05
100066,1.68901e-05
100071,1.9371e-05
100076,1.78287e-05
100081,1.91939e-05
100086,2.03986e-05
100091,2.17687e-05
100096,2.15467e-05
100101,2.36062e-05
100106,2.25685e-05
100111,2.53998e-05
100116,2.4954e-05
100121,2.66249e-05
100126,2.74641e-05
100131,2.66572e-05
100136,2.6843e-05
100141,2.7149e-05
100146,2.88874e-05
100151,3.06031e-05
100156,2.99197e-05
100161,3.06747e-05
100166,3.10679e-05
100171,3.38839e-05
100176,3.6912e-05
100181,3.48515e-05
100186,3.55735e-05
100191,3.65803e-05
100196,3.98469e-05
100201,3.97449e-05
100206,4.03924e-05
100211,3.84051e-05
100216,3.71724e-05
100221,3.84554e-05
100226,3.97357e-05
100231,4.05937e-05
100236,4.17563e-05
100241,4.34007e-05
100246,4.71524e-05
100251,4.62688e-05
100256,4.51194e-05
100261,4.63409e-05
100266,4.62007e-05
100271,4.844e-05
100276,5.16939e-05
100281,5.39592e-05
100286,5.27827e-05
100291,5.04631e-05
100296,4.9131e-05
100301,4.85402e-05
100306,4.64337e-05
100311,4.71842e-05
100316,4.83972e-05
100321,4.93674e-05
100326,4.87416e-05
100331,4.84131e-05
100336,5.02176e-05
100341,4.8251e-05
100346,5.17985e-05
100351,5.27243e-05
100356,5.42788e-05
100361,5.42568e-05
100366,5.882e-05
100371,6.00475e-05
100376,5.75267e-05
100381,5.65513e-05
100386,5.79761e-05
100391,6.03637e-05
100396,5.54132e-05
100401,5.27651e-05
100406,5.6541e-05
100411,5.30321e-05
100416,5.09367e-05
100421,4.90613e-05
100426,4.82068e-05
100431,4.94399e-05
100436,4.66267e-05
100441,4.9942e-05
100446,4.6029e-05
100451,4.78577e-05
100456,4.65642e-05
100461,4.77899e-05
100466,4.86731e-05
100471,5.12297e-05
100476,4.99156e-05
100481,4.97935e-05
100486,4.85194e-05
100491,5.4302e-05
100496,5.37313e-05
100501,5.49653e-05
100506,6.14361e-05
100511,6.11636e-05
100516,5.50901e-05
100521,5.77242e-05
100526,6.12629e-05
100531,5.82288e-05
100536,5.79411e-05
100541,5.41235e-05
100546,5.2367e-05
100551,5.20407e-05
100556,5.27959e-05
100561,5.485e-05
100566,5.62675e-05
100571,5.37486e-05
100576,5.76137e-05
100581,6.40207e-05
100586,6.26928e-05
100591,6.63321e-05
100596,6.59852e-05
100601,6.98292e-05
100606,7.56719e-05
100611,7.43197e-05
100616,7.87242e-05
100621,8.1725e-05
100626,8.43692e-05
100631,8.41764e-05
100636,8.05668e-05
100641,8.18247e-05
100646,7.74452e-05
100651,6.46773e-05
100656,6.55964e-05
100661,7.43677e-05
100666,8.18684e-05
100671,7.8539e-05
100676,7.10205e-05
100681,6.71748e-05
100686,7.99832e-05
100691,7.82458e-05
100696,8.19392e-05
100701,8.33187e-05
100706,8.6277e-05
100711,8.46941e-05
100716,8.16856e-05
100721,8.20586e-05
100726,7.9791e-05
100731,8.01753e-05
100736,7.57229e-05
100741,7.83869e-05
100746,8.16911e-05
100751,8.5121e-05
100756,7.96669e-05
100761,8.67948e-05
100766,8.22777e-05
100771,8.44928e-05
100776,8.66196e-05
100781,8.85643e-05
100786,8.46104e-05
100791,8.58353e-05
100796,9.12652e-05
100801,8.77517e-05
100806,8.91917e-05
100811,8.25312e-05
100816,8.49733e-05
100821,8.61035e-05
100826,8.36474e-05
100831,7.56653e-05
100836,8.17139e-05
100841,8.29357e-05
100846,8.65998e-05
100851,8.46591e-05
100856,8.61661e-05
100861,8.77467e-05
100866,8.40212e-05
100871,9.24069e-05
100876,0.000100174
100881,0.000103244
100886,9.89683e-05
100891,9.82996e-05
100896,0.000100858
100901,0.000107232
100906,0.000106806
100911,0.000102956
100916,9.80927e-05
100921,0.000100932
100926,0.000105275
100931,0.000101186
100936,9.5009e-05
100941,9.45416e-05
100946,9.2063e-05
100951,9.09372e-05
100956,9.3616e-05
100961,8.54103e-05
100966,7.78797e-05
100971,8.99787e-05
100976,9.66057e-05
100981,9.5093e-05
100986,9.24575e-05
100991,9.40127e-05
100996,8.5692e-05
