cycle,Heterozygosity
100001,0.00379727
100002,0.00376443
100003,0.00362938
100004,0.00366479
100005,0.00365127
100006,0.00352135
100007,0.00358285
100008,0.00343622
100009,0.00344707
100010,0.00344117
100011,0.00358687
100012,0.00359016
100013,0.00365048
100014,0.00362806
100015,0.00363937
100016,0.00352903
100017,0.00348156
100018,0.00335692
100019,0.00342546
100020,0.00344874
100021,0.0033151
100022,0.00322503
100023,0.00320462
100024,0.00316553
100025,0.00315809
100026,0.00299728
100027,0.00295069
100028,0.00302232
100029,0.00300119
100030,0.00293012
100031,0.00286571
100032,0.00286775
100033,0.00283823
100034,0.0028309
100035,0.002892
100036,0.00254516
100037,0.00173099
100038,0.00191505
100039,0.00149074
100040,0.000931285
100041,0.000554586
100042,0.000270587
100043,0.000253644
100044,1.17187e-06
100045,1.04938e-06
100046,2.1875e-06
100047,8.67769e-07
100048,1.22396e-06
100049,1.09053e-06
100050,1.27778e-06
100051,1.16621e-06
100052,1.05186e-06
100053,1.42772e-06
100054,4.30057e-07
100055,3.88312e-07
100056,1.03416e-06
100057,1.11472e-06
100058,1.58429e-06
100059,2.35042e-06
100060,1.55827e-06
100061,1.09391e-06
100062,9.52133e-07
100063,1.73647e-06
100064,1.40869e-06
100065,2.1462e-06
100066,2.74974e-06
100067,3.06452e-06
100068,3.2141e-06
100069,3.67846e-06
100070,3.97763e-06
100071,4.78148e-06
100072,5.05463e-06
100073,3.9334e-06
100074,3.30125e-06
100075,2.1514e-06
100076,1.83923e-06
100077,1.68444e-06
100078,1.55827e-06
100079,2.02784e-06
100080,2.17222e-06
100081,2.45317e-06
100082,2.4948e-06
100083,2.314e-06
100084,3.77341e-06
100085,4.72294e-06
100086,4.96488e-06
100087,4.49792e-06
100088,5.01041e-06
100089,4.91545e-06
100090,6.39048e-06
100091,6.36446e-06
100092,5.73751e-06
100093,5.1756e-06
100094,5.57492e-06
100095,6.83533e-06
100096,6.87955e-06
100097,8.45213e-06
100098,8.35198e-06
100099,9.30541e-06
100100,1.05203e-05
100101,1.0065e-05
100102,9.04006e-06
100103,1.04279e-05
100104,1.27094e-05
100105,1.14698e-05
100106,1.09664e-05
100107,1.01405e-05
100108,1.12214e-05
100109,1.09157e-05
100110,1.04709e-05
100111,1.09677e-05
100112,1.25468e-05
100113,1.33507e-05
100114,1.21904e-05
100115,1.18015e-05
100116,1.37019e-05
100117,1.49037e-05
100118,1.33949e-05
100119,1.0558e-05
100120,1.18106e-05
100121,1.20734e-05
100122,1.20786e-05
100123,9.6475e-06
100124,9.69173e-06
100125,1.0013e-05
100126,9.35354e-06
100127,7.94875e-06
100128,7.20473e-06
100129,7.87071e-06
100130,6.72216e-06
100131,6.83012e-06
100132,6.68965e-06
100133,5.718e-06
100134,6.58689e-06
100135,7.6717e-06
100136,8.29735e-06
100137,9.02315e-06
100138,9.40557e-06
100139,9.05827e-06
